customer_id,full_name,email,phone_number,credit_score
1,Alice Smith,alice@example.com,9876543210,780
2,Bob Johnson,bob@example.com,8765432109,720
3,Carol Lee,carol@example.com,7654321098,690
4,David Brown,david@example.com,6543210987,710
5,Eva White,eva@example.com,5432109876,750
6,Frank Adams,frank@example.com,4321098765,640
7,Grace Allen,grace@example.com,3210987654,700
8,Henry Ford,henry@example.com,2109876543,760
9,Ivy Black,ivy@example.com,1098765432,670
10,Jake Green,jake@example.com,987654321,730
11,Aishani Dhar,aishani@example.com,1234567890,800
